rank,name,year,rating,genre,certificate,run_time, budget ,box_office
1,The Shawshank Redemption,1994,9.3,Drama,R,2h 22m,25000000,28884504
2,The Godfather,1972,9.2,"Crime,Drama",R,2h 55m,6000000,250341816
3,The Dark Knight,2008,9,"Action,Crime,Drama",PG-13,2h 32m,185000000,1006234167
4,The Godfather Part II,1974,9,"Crime,Drama",R,3h 22m,13000000,47961919
5,12 Angry Men,1957,9,"Crime,Drama",Approved,1h 36m,350000,955
6,Schindler's List,1993,9,"Biography,Drama,History",R,3h 15m,22000000,322161245
7,The Lord of the Rings: The Return of the King,2003,9,"Action,Adventure,Drama",PG-13,3h 21m,94000000,1146457748
8,Pulp Fiction,1994,8.9,"Crime,Drama",R,2h 34m,8000000,213928762
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action,Adventure,Drama",PG-13,2h 58m,93000000,898204420
10,"The Good, the Bad and the Ugly",1966,8.8,"Adventure,Western",Approved,2h 58m,1200000,25253887
11,Forrest Gump,1994,8.8,"Drama,Romance",PG-13,2h 22m,55000000,678226465
12,Fight Club,1999,8.8,Drama,R,2h 19m,63000000,101209702
13,The Lord of the Rings: The Two Towers,2002,8.8,"Action,Adventure,Drama",PG-13,2h 59m,94000000,947944270
14,Inception,2010,8.8,"Action,Adventure,Sci-Fi",PG-13,2h 28m,160000000,836848102
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action,Adventure,Fantasy",PG,2h 4m,18000000,538375067
16,The Matrix,1999,8.7,"Action,Sci-Fi",R,2h 16m,63000000,467222728
17,Goodfellas,1990,8.7,"Biography,Crime,Drama",R,2h 25m,25000000,47036784
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,18+,2h 13m,3000000,109114817
19,Se7en,1995,8.6,"Crime,Drama,Mystery",R,2h 7m,33000000,327333559
20,Seven Samurai,1954,8.6,"Action,Drama",Not Rated,3h 27m,125000000,346258
21,It's a Wonderful Life,1946,8.6,"Drama,Family,Fantasy",PG,2h 10m,3180000,8574081
22,The Silence of the Lambs,1991,8.6,"Crime,Drama,Thriller",R,1h 58m,19000000,272742922
24,Saving Private Ryan,1998,8.6,"Drama,War",R,2h 49m,70000000,482349603
25,Interstellar,2014,8.6,"Adventure,Drama,Sci-Fi",PG-13,2h 49m,165000000,773867216
26,Life Is Beautiful,1997,8.6,"Comedy,Drama,Romance",PG-13,1h 56m,20000000,230098753
27,The Green Mile,1999,8.6,"Crime,Drama,Fantasy",R,3h 9m,60000000,286801374
28,Star Wars: Episode IV - A New Hope,1977,8.6,"Action,Adventure,Fantasy",PG,2h 1m,11000000,775398007
29,Terminator 2: Judgment Day,1991,8.6,"Action,Sci-Fi",R,2h 17m,102000000,520881154
30,Back to the Future,1985,8.5,"Adventure,Comedy,Sci-Fi",PG,1h 56m,19000000,383336762
31,Spirited Away,2001,8.6,"Animation,Adventure,Family",PG,2h 5m,19000000,355822319
32,The Pianist,2002,8.5,"Biography,Drama,Music",R,2h 30m,35000000,120072577
33,Psycho,1960,8.5,"Horror,Mystery,Thriller",R,1h 49m,806947,32052925
34,Parasite,2019,8.5,"Drama,Thriller",R,2h 12m,11400000,262676096
36,The Lion King,1994,8.5,"Animation,Adventure,Drama",G,1h 28m,45000000,968511805
37,Gladiator,2000,8.5,"Action,Adventure,Drama",R,2h 35m,103000000,503162313
38,American History X,1998,8.5,"Crime,Drama",R,1h 59m,20000000,23875127
39,The Departed,2006,8.5,"Crime,Drama,Thriller",R,2h 31m,90000000,291480452
40,The Usual Suspects,1995,8.5,"Crime,Drama,Mystery",R,1h 46m,6000000,23341568
41,The Prestige,2006,8.5,"Drama,Mystery,Sci-Fi",PG-13,2h 10m,40000000,109676311
42,Whiplash,2014,8.5,"Drama,Music",R,1h 46m,3300000,49396747
43,Casablanca,1942,8.5,"Drama,Romance,War",PG,1h 42m,950000,4626532
44,Grave of the Fireflies,1988,8.5,"Animation,Drama,War",Not Rated,1h 29m,3700000,516962
46,The Intouchables,2011,8.5,"Biography,Comedy,Drama",R,1h 52m,9500000,426588510
47,Modern Times,1936,8.5,"Comedy,Drama,Romance",G,1h 27m,1500000,463618
48,Once Upon a Time in the West,1968,8.5,Western,PG-13,2h 45m,5000000,5435024
49,Rear Window,1954,8.5,"Mystery,Thriller",PG,1h 52m,1000000,37034579
50,Cinema Paradiso,1988,8.5,"Drama,Romance",PG,2h 35m,5000000,13019063
51,Alien,1979,8.5,"Horror,Sci-Fi",R,1h 57m,11000000,106285522
52,City Lights,1931,8.5,"Comedy,Drama,Romance",G,1h 27m,1500000,50419
53,Apocalypse Now,1979,8.5,"Drama,Mystery,War",R,2h 27m,31500000,104880868
54,Memento,2000,8.4,"Mystery,Thriller",R,1h 53m,9000000,40047078
55,Django Unchained,2012,8.4,"Drama,Western",R,2h 45m,100000000,426074373
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,"Action,Adventure",PG,1h 55m,18000000,389925971
57,WALL·E,2008,8.4,"Animation,Adventure,Family",G,1h 38m,180000000,521311890
58,The Lives of Others,2006,8.4,"Drama,Mystery,Thriller",R,2h 17m,2000000,77356942
59,Sunset Blvd.,1950,8.4,"Drama,Film-Noir",Passed,1h 50m,1752000,300073
60,Paths of Glory,1957,8.4,"Drama,War",Approved,1h 28m,935000,5252
61,The Shining,1980,8.4,"Drama,Horror",R,2h 26m,19000000,47335804
62,The Great Dictator,1940,8.4,"Comedy,Drama,War",G,2h 5m,2000000,970263
63,Avengers: Infinity War,2018,8.4,"Action,Adventure,Sci-Fi",PG-13,2h 29m,321000000,2052415039
64,Witness for the Prosecution,1957,8.4,"Crime,Drama,Mystery",Approved,1h 56m,3000000,7693
65,Aliens,1986,8.4,"Action,Adventure,Sci-Fi",R,2h 17m,18500000,131060248
67,American Beauty,1999,8.4,Drama,R,2h 2m,15000000,356296601
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Comedy,War",PG,1h 35m,1800000,9523464
69,The Dark Knight Rises,2012,8.4,"Action,Drama",PG-13,2h 44m,250000000,1081169825
70,Oldboy,2003,8.4,"Action,Drama,Mystery",R,2h,3000000,15421226
71,Inglourious Basterds,2009,8.3,"Adventure,Drama,War",R,2h 33m,70000000,321457747
72,Amadeus,1984,8.4,"Biography,Drama,Music",PG,2h 40m,18000000,52066791
73,Coco,2017,8.4,"Animation,Adventure,Comedy",PG,1h 45m,175000000,814337054
74,Toy Story,1995,8.3,"Animation,Adventure,Comedy",G,1h 21m,30000000,394436586
75,Joker,2019,8.4,"Crime,Drama,Thriller",R,2h 2m,55000000,1074458282
76,Braveheart,1995,8.4,"Biography,Drama,History",R,2h 58m,72000000,213216216
78,Avengers: Endgame,2019,8.4,"Action,Adventure,Drama",PG-13,3h 1m,356000000,2799439100
79,Princess Mononoke,1997,8.4,"Animation,Action,Adventure",PG-13,2h 14m,2400000000,170005875
80,Once Upon a Time in America,1984,8.3,"Crime,Drama",R,3h 49m,30000000,5473337
83,3 Idiots,2009,8.4,"Comedy,Drama",PG-13,2h 50m,550000000,60262836
84,Singin' in the Rain,1952,8.3,"Comedy,Musical,Romance",G,1h 43m,2540800,2000288
85,Requiem for a Dream,2000,8.3,Drama,Unrated,1h 42m,4500000,7390108
86,Toy Story 3,2010,8.3,"Animation,Adventure,Comedy",G,1h 43m,200000000,1067316101
89,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action,Adventure,Fantasy",PG,2h 11m,32500000,475106177
90,Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama,Romance,Sci-Fi",R,1h 48m,20000000,74036715
